id,lastname,edate,twitter,link,incdate,cdate,creason,creasonx,cryptonative,verified,comments
10000,previous name,2017-01-01,,https://example.com,2017-10-01,2019-06-01,bankrupted,R,native,TRUE,Like it
10001,1BTCXE,2014-11-01,@1btcxe,https://1btcxe.com,2014-01-01,,N/A,,native,TRUE,
10002,1EX.Trade,2015-01-01,@1extrade,https://1ex.trade/index.php,2015-01-01,,N/A,,native,TRUE,
10003,earn.com,2014-01-01,@earndotcom,earn.com,2013-05-01,2018-04-01,Acquired by Coinbase (as earn.com),A,native,TRUE,
10004,247Exchange,2014-08-01,,https://247exchange.com/,2014-01-01,2018-07-01,Not clear,R,native,TRUE,"""hey guys dont use this exchange i have lost 5K here no support no reply"""
10005,37coins,2013-12-01,@37Coins,37coins.com,2013-01-01,2015-08-01,Failed to meet market demands and expectations,R,native,TRUE,
10006,99Bitcoins,2013-04-01,@99BitcoinsHQ,https://99bitcoins.com/,2013-01-01,,N/A,,native,TRUE,
